dataset,model,origin,origin_actual,forecast_date,horizon,actual,forecast,actual_change,predicted_change,actual_direction,predicted_direction,direction_correct,mase_scale,scaled_absolute_error,elapsed_seconds,train_size,window,converged,iterations,warnflag,objective_value,optimizer_message,optimizer_status,initial_converged,initial_iterations,initial_warnflag,initial_objective_value,initial_optimizer_message,initial_optimizer_status,initial_parameters,retry_attempted,retry_accepted,retry_count,retry_parameter,retry_parameter_offset,retry_converged,retry_iterations,retry_warnflag,retry_objective_value,retry_optimizer_message,retry_optimizer_status,retry_history,forecast_is_finite,parameters_are_finite,parameters
Airline,Naive,1958-12-01,337.0,1959-01-01,1,360,337.0,23.0,0.0,1.0,0.0,False,28.574074074074073,0.8049254698639016,2.3900065571069717e-05,120,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1958-12-01,337.0,1959-03-01,3,406,337.0,69.0,0.0,1.0,0.0,False,28.574074074074073,2.414776409591705,2.3900065571069717e-05,120,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1958-12-01,337.0,1959-12-01,12,405,337.0,68.0,0.0,1.0,0.0,False,28.574074074074073,2.3797796500324044,2.3900065571069717e-05,120,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-01-01,360.0,1959-02-01,1,342,360.0,-18.0,0.0,-1.0,0.0,False,28.495412844036696,0.6316806181584032,1.3999990187585354e-05,121,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-01-01,360.0,1959-04-01,3,396,360.0,36.0,0.0,1.0,0.0,False,28.495412844036696,1.2633612363168063,1.3999990187585354e-05,121,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-01-01,360.0,1960-01-01,12,417,360.0,57.0,0.0,1.0,0.0,False,28.495412844036696,2.00032195750161,1.3999990187585354e-05,121,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-02-01,342.0,1959-03-01,1,406,342.0,64.0,0.0,1.0,0.0,False,28.454545454545453,2.2492012779552715,1.2999982573091984e-05,122,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-02-01,342.0,1959-05-01,3,420,342.0,78.0,0.0,1.0,0.0,False,28.454545454545453,2.7412140575079875,1.2999982573091984e-05,122,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-02-01,342.0,1960-02-01,12,391,342.0,49.0,0.0,1.0,0.0,False,28.454545454545453,1.7220447284345048,1.2999982573091984e-05,122,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-03-01,406.0,1959-04-01,1,396,406.0,-10.0,0.0,-1.0,0.0,False,28.594594594594593,0.3497164461247637,1.1699972674250603e-05,123,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-03-01,406.0,1959-06-01,3,472,406.0,66.0,0.0,1.0,0.0,False,28.594594594594593,2.3081285444234405,1.1699972674250603e-05,123,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-03-01,406.0,1960-03-01,12,419,406.0,13.0,0.0,1.0,0.0,False,28.594594594594593,0.4546313799621928,1.1699972674250603e-05,123,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-04-01,396.0,1959-05-01,1,420,396.0,24.0,0.0,1.0,0.0,False,28.767857142857142,0.8342644320297952,1.2399978004395962e-05,124,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-04-01,396.0,1959-07-01,3,548,396.0,152.0,0.0,1.0,0.0,False,28.767857142857142,5.283674736188702,1.2399978004395962e-05,124,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-04-01,396.0,1960-04-01,12,461,396.0,65.0,0.0,1.0,0.0,False,28.767857142857142,2.259466170080695,1.2399978004395962e-05,124,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-05-01,420.0,1959-06-01,1,472,420.0,52.0,0.0,1.0,0.0,False,29.01769911504425,1.792009759072888,1.209997572004795e-05,125,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-05-01,420.0,1959-08-01,3,559,420.0,139.0,0.0,1.0,0.0,False,29.01769911504425,4.790179932906374,1.209997572004795e-05,125,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-05-01,420.0,1960-05-01,12,472,420.0,52.0,0.0,1.0,0.0,False,29.01769911504425,1.792009759072888,1.209997572004795e-05,125,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-06-01,472.0,1959-07-01,1,548,472.0,76.0,0.0,1.0,0.0,False,29.087719298245613,2.612786489746683,1.1800089851021767e-05,126,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-06-01,472.0,1959-09-01,3,463,472.0,-9.0,0.0,-1.0,0.0,False,29.087719298245613,0.30940892641737033,1.1800089851021767e-05,126,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-06-01,472.0,1960-06-01,12,535,472.0,63.0,0.0,1.0,0.0,False,29.087719298245613,2.1658624849215924,1.1800089851021767e-05,126,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-07-01,548.0,1959-08-01,1,559,548.0,11.0,0.0,1.0,0.0,False,29.330434782608695,0.3750370589979247,1.1499971151351929e-05,127,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-07-01,548.0,1959-10-01,3,407,548.0,-141.0,0.0,-1.0,0.0,False,29.330434782608695,4.80729321079158,1.1499971151351929e-05,127,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-07-01,548.0,1960-07-01,12,622,548.0,74.0,0.0,1.0,0.0,False,29.330434782608695,2.522976578713312,1.1499971151351929e-05,127,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-08-01,559.0,1959-09-01,1,463,559.0,-96.0,0.0,-1.0,0.0,False,29.54310344827586,3.249489349285089,1.1499971151351929e-05,128,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-08-01,559.0,1959-11-01,3,362,559.0,-197.0,0.0,-1.0,0.0,False,29.54310344827586,6.66822293551211,1.1499971151351929e-05,128,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-08-01,559.0,1960-08-01,12,606,559.0,47.0,0.0,1.0,0.0,False,29.54310344827586,1.5908958272541582,1.1499971151351929e-05,128,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Naive,1959-09-01,463.0,1959-10-01,1,407,463.0,-56.0,0.0,-1.0,0.0,False,29.794871794871796,1.8795180722891567,1.1899974197149277e-05,129,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
