dataset,model,origin,origin_actual,forecast_date,horizon,actual,forecast,actual_change,predicted_change,actual_direction,predicted_direction,direction_correct,mase_scale,scaled_absolute_error,elapsed_seconds,train_size,window,model_identifier,model_revision,chronos_package_version,device,history_length,context_length,max_context_length,context_truncated,context_end,point_forecast_method,inference_elapsed_seconds,inference_batch_size,forecast_is_finite,inference_warning,inference_exception
Airline,Chronos-2,1958-12-01,337.0,1959-01-01,1,360,342.2366638183594,23.0,5.236663818359375,1.0,1.0,True,28.574074074074073,0.6216592053198923,5.700043402612209e-06,120,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,120,120,8192,False,1958-12-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1958-12-01,337.0,1959-03-01,3,406,394.8394775390625,69.0,57.8394775390625,1.0,1.0,True,28.574074074074073,0.39058212112159757,5.700043402612209e-06,120,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,120,120,8192,False,1958-12-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1958-12-01,337.0,1959-12-01,12,405,360.8453369140625,68.0,23.8453369140625,1.0,1.0,True,28.574074074074073,1.545270127440457,5.700043402612209e-06,120,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,120,120,8192,False,1958-12-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-01-01,360.0,1959-02-01,1,342,343.2205505371094,-18.0,-16.779449462890625,-1.0,-1.0,True,28.495412844036696,0.04283322876526783,3.7999125197529793e-06,121,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,121,121,8192,False,1959-01-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-01-01,360.0,1959-04-01,3,396,388.91119384765625,36.0,28.91119384765625,1.0,1.0,True,28.495412844036696,0.2487700806843106,3.7999125197529793e-06,121,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,121,121,8192,False,1959-01-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-01-01,360.0,1960-01-01,12,417,379.2235107421875,57.0,19.2235107421875,1.0,1.0,True,28.495412844036696,1.3257042270127375,3.7999125197529793e-06,121,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,121,121,8192,False,1959-01-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-02-01,342.0,1959-03-01,1,406,396.97064208984375,64.0,54.97064208984375,1.0,1.0,True,28.454545454545453,0.317325677353734,3.600027412176132e-06,122,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,122,122,8192,False,1959-02-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-02-01,342.0,1959-05-01,3,420,389.4345703125,78.0,47.4345703125,1.0,1.0,True,28.454545454545453,1.0741844299121406,3.600027412176132e-06,122,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,122,122,8192,False,1959-02-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-02-01,342.0,1960-02-01,12,391,363.97802734375,49.0,21.97802734375,1.0,1.0,True,28.454545454545453,0.9496539911142173,3.600027412176132e-06,122,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,122,122,8192,False,1959-02-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-03-01,406.0,1959-04-01,1,396,393.2584228515625,-10.0,-12.7415771484375,-1.0,-1.0,True,28.594594594594593,0.09587746171284263,3.400025889277458e-06,123,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,123,123,8192,False,1959-03-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-03-01,406.0,1959-06-01,3,472,455.6874084472656,66.0,49.687408447265625,1.0,1.0,True,28.594594594594593,0.5704781544907107,3.400025889277458e-06,123,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,123,123,8192,False,1959-03-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-03-01,406.0,1960-03-01,12,419,432.14251708984375,13.0,26.14251708984375,1.0,1.0,True,28.594594594594593,0.4596154369794128,3.400025889277458e-06,123,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,123,123,8192,False,1959-03-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-04-01,396.0,1959-05-01,1,420,403.21826171875,24.0,7.21826171875,1.0,1.0,True,28.767857142857142,0.5833503064866543,3.3999094739556313e-06,124,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,124,124,8192,False,1959-04-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-04-01,396.0,1959-07-01,3,548,523.4642333984375,152.0,127.4642333984375,1.0,1.0,True,28.767857142857142,0.8528882245111732,3.3999094739556313e-06,124,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,124,124,8192,False,1959-04-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-04-01,396.0,1960-04-01,12,461,423.13623046875,65.0,27.13623046875,1.0,1.0,True,28.767857142857142,1.3161831742706394,3.3999094739556313e-06,124,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,124,124,8192,False,1959-04-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-05-01,420.0,1959-06-01,1,472,476.93768310546875,52.0,56.93768310546875,1.0,1.0,True,29.01769911504425,0.1701610829271024,3.999914042651653e-06,125,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,125,125,8192,False,1959-05-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-05-01,420.0,1959-08-01,3,559,533.056640625,139.0,113.056640625,1.0,1.0,True,29.01769911504425,0.8940529458295212,3.999914042651653e-06,125,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,125,125,8192,False,1959-05-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-05-01,420.0,1960-05-01,12,472,440.2508239746094,52.0,20.250823974609375,1.0,1.0,True,29.01769911504425,1.0941314092312109,3.999914042651653e-06,125,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,125,125,8192,False,1959-05-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-06-01,472.0,1959-07-01,1,548,532.8153686523438,76.0,60.81536865234375,1.0,1.0,True,29.087719298245613,0.5220289425913186,3.200024366378784e-06,126,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,126,126,8192,False,1959-06-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-06-01,472.0,1959-09-01,3,463,465.190673828125,-9.0,-6.809326171875,-1.0,-1.0,True,29.087719298245613,0.07531267081008745,3.200024366378784e-06,126,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,126,126,8192,False,1959-06-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-06-01,472.0,1960-06-01,12,535,515.1911010742188,63.0,43.19110107421875,1.0,1.0,True,29.087719298245613,0.681005572237353,3.200024366378784e-06,126,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,126,126,8192,False,1959-06-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-07-01,548.0,1959-08-01,1,559,533.190673828125,11.0,-14.809326171875,1.0,-1.0,False,29.330434782608695,0.8799503438380152,2.8999056667089462e-06,127,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,127,127,8192,False,1959-07-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-07-01,548.0,1959-10-01,3,407,407.5287780761719,-141.0,-140.47122192382812,-1.0,-1.0,True,29.330434782608695,0.018028306777280057,2.8999056667089462e-06,127,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,127,127,8192,False,1959-07-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-07-01,548.0,1960-07-01,12,622,585.3955078125,74.0,37.3955078125,1.0,1.0,True,29.330434782608695,1.2480037360102283,2.8999056667089462e-06,127,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,127,127,8192,False,1959-07-01,standard predictions output (trained 0.5 quantile),0.01532736248918809,8,True,,
Airline,Chronos-2,1959-08-01,559.0,1959-09-01,1,463,489.1351318359375,-96.0,-69.8648681640625,-1.0,-1.0,True,29.54310344827586,0.8846440889900059,2.800021320581436e-06,128,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,128,128,8192,False,1959-08-01,standard predictions output (trained 0.5 quantile),0.02181808000896126,5,True,,
Airline,Chronos-2,1959-08-01,559.0,1959-11-01,3,362,349.0971984863281,-197.0,-209.90280151367188,-1.0,-1.0,True,29.54310344827586,0.4367449593189196,2.800021320581436e-06,128,expanding,amazon/chronos-2,29ec3766d36d6f73f0696f85560a422f50e8498c,2.3.1,cpu,128,128,8192,False,1959-08-01,standard predictions output (trained 0.5 quantile),0.02181808000896126,5,True,,
